scenario_id,scenario_type,account_id,employee_id,description,related_event_ids,related_transaction_ids,has_transactional_consequence
S01,suspicious,800056370,EMP_0011,"Employee raises transfer limit from $10K to $100K. Within 48 hours, account performs 12 split transfers of $9,500 each (just below reporting threshold). Classic structuring.",EVT_090001,"SYN_S01_001,SYN_S01_002,SYN_S01_003,SYN_S01_004,SYN_S01_005,SYN_S01_006,SYN_S01_007,SYN_S01_008,SYN_S01_009,SYN_S01_010,SYN_S01_011,SYN_S01_012",True
S02,suspicious,800056660,EMP_0012,"Employee grants wire-transfer access to individual account that never had it. Within 6 hours, a $450K wire is sent to an offshore jurisdiction. No prior wire history.",EVT_090002,SYN_S02_001,True
S03,suspicious,800056A50,EMP_0013,"Employee bypasses KYC verification (pending->verified) and downgrades risk rating (high->low) on same account. Within 24h, account executes 20+ rapid transactions totaling $800K.",EVT_090003,"SYN_S03_001,SYN_S03_002,SYN_S03_003,SYN_S03_004,SYN_S03_005,SYN_S03_006,SYN_S03_007,SYN_S03_008,SYN_S03_009,SYN_S03_010,SYN_S03_011,SYN_S03_012,SYN_S03_013,SYN_S03_014,SYN_S03_015,SYN_S03_016,SYN_S03_017,SYN_S03_018,SYN_S03_019,SYN_S03_020",True
S04,suspicious,800056CB0,EMP_0014,"Employee raises monitoring threshold from $5K to $50K, effectively hiding mid-size transactions from alerts. 24 transactions between $6K-$45K follow within 36 hours.",EVT_090004,"SYN_S04_001,SYN_S04_002,SYN_S04_003,SYN_S04_004,SYN_S04_005,SYN_S04_006,SYN_S04_007,SYN_S04_008,SYN_S04_009,SYN_S04_010,SYN_S04_011,SYN_S04_012,SYN_S04_013,SYN_S04_014,SYN_S04_015,SYN_S04_016,SYN_S04_017,SYN_S04_018,SYN_S04_019,SYN_S04_020,SYN_S04_021,SYN_S04_022,SYN_S04_023,SYN_S04_024",True
S05,suspicious,800056E00,EMP_0015,"Employee changes beneficial ownership from individual to opaque shell company. Within 48h, layered transfers through 3 intermediate accounts totaling $1.2M.",EVT_090005,"SYN_S05_001,SYN_S05_002,SYN_S05_003",True
S06,suspicious,800057020,EMP_0016,Recently-hired employee (< 60 days tenure) grants themselves full access to a dormant account. Account reactivated with $350K in rapid transfers within 12 hours.,EVT_090006,"SYN_S06_001,SYN_S06_002,SYN_S06_003,SYN_S06_004,SYN_S06_005",True
S07,suspicious,8000573C0,EMP_0017,"Employee changes customer address from residential to suspicious PO Box in offshore jurisdiction. Followed by multiple cash deposits ($9,900 each) within 48 hours.",EVT_090007,"SYN_S07_001,SYN_S07_002,SYN_S07_003,SYN_S07_004,SYN_S07_005,SYN_S07_006,SYN_S07_007,SYN_S07_008",True
S08,suspicious,800057620,EMP_0018,Employee dismisses active fraud alert on account without documented justification. Account immediately resumes suspicious wire transfers ($75K+ each) to multiple countries.,EVT_090008,"SYN_S08_001,SYN_S08_002,SYN_S08_003,SYN_S08_004",True
S09,suspicious,800057A10,EMP_0019,"Employee grants batch-payment capability to personal account. Within 24h, 50+ payments of $2,000-$4,999 each are sent to different recipients (smurfing/structuring pattern).",EVT_090009,"SYN_S09_001,SYN_S09_002,SYN_S09_003,SYN_S09_004,SYN_S09_005,SYN_S09_006,SYN_S09_007,SYN_S09_008,SYN_S09_009,SYN_S09_010,SYN_S09_011,SYN_S09_012,SYN_S09_013,SYN_S09_014,SYN_S09_015,SYN_S09_016,SYN_S09_017,SYN_S09_018,SYN_S09_019,SYN_S09_020,SYN_S09_021,SYN_S09_022,SYN_S09_023,SYN_S09_024,SYN_S09_025,SYN_S09_026,SYN_S09_027,SYN_S09_028,SYN_S09_029,SYN_S09_030,SYN_S09_031,SYN_S09_032,SYN_S09_033,SYN_S09_034,SYN_S09_035,SYN_S09_036,SYN_S09_037,SYN_S09_038,SYN_S09_039,SYN_S09_040,SYN_S09_041,SYN_S09_042,SYN_S09_043,SYN_S09_044,SYN_S09_045,SYN_S09_046,SYN_S09_047,SYN_S09_048,SYN_S09_049,SYN_S09_050",True
S10,suspicious,800057D40,EMP_0020,"Employee converts personal account to business without proper documentation. Account immediately used for large money order purchases ($9,800 each, just under $10K threshold).",EVT_090010,"SYN_S10_001,SYN_S10_002,SYN_S10_003,SYN_S10_004,SYN_S10_005,SYN_S10_006,SYN_S10_007,SYN_S10_008",True
